"10010",524.72826894012,639.677974714353,609.583128444372,182.527295941625,239.285753806641,43230.1223122886,19313.3500005767,21195.8606247826,64524.2938164647,938993.658255301,63409.5175752679,559.645997268769,5915.80971206032,7313.64447526716,2378.59824582417,2212.20789556896,9249.00640839641,10446.0203174049,1867.89858879889,1235.93704442677,6496.33627534802,6614.15555169395,3477.5486227428,1047.37901549517,6268.61300686604,100.151002917042,6737.73991355249,722.093987601976,160.408992588882,3753.33747016349,1725.11478765149,95.1553918127429,2447.88501859619,4072.737576503,6580.15800080582,6836.33097218764,136095.137953261,615.641361865134,540816.476390979,72472.1334558034,797.452445126254,21844.7686698417,5939259.6185486,1997971.99834891,47010.7247407784,501379.126891083,208632.688540887,629002.077183307,11151.4023162805,121359.630540832,4116.16438976929,18274.79850354,33846.4240684193,12606249.669072,5860079.01071871,10376348.3223894,4887764.82850629,8530849.7535831,2496209.16692762,3865562.78527928,125239.077126985,95932.310758256,39507.469838458,144613.178719691,62876.8682454771,133779.858052039,5770.09677713189,3018.01715461515,2732.19823983208,11035.4234681649,213.014169387681,8693.40962612379,21874.9512363097,17848.1121696645,15678.798300106,12269.196283478,2352.6488803655,51868.6596231472,917.248304605464,131676.354007875,29164.6749988925,12618.8881482418,70.8146813466813,2677.78351608867,35640.5639564747,27933.0121750925,437102.044628619,17334.0085029105,5246.2838326337,74056.1240689475,0,0,0,0,242.93880101516,5239.89091077767,17267.7253163621,2837.14534762449,13159.5979832924,84202.9176305249,0,0,5861865.55960015,1496522.79026455,5694905.3001901,4248695.04858705,1003002.20096516,1731247.3717503,38339.2681129614,13026.8167049096,29648.7980782691,22331.5859141035,99.0374397998967,53.0719649637661,0,0,0,0,0,42809.8037599497,0,0,4692.36866252533,404.646815715536,0,0,0,26.5185395977544,19.3951286587507,1153.90640004102,0,0,301.049016414898,0,1311.89415839367,15784.7499719398,2136.28923782901,698.842796957714,3044.16091248191,2285.8484041515,1427.38062170137,3286.5965127594,189.700098100236,2439.65289434306,22.666025585627,866.010044534597,786.827595830259,258.821021802493,3139.00411328882,0,558.022084438503,0,19600.6697582982,82058559.2997319,0,0,0,0,0,0,2558348.54014042,2558348.54014042,1628760.24653222,4187108.78667264,8338557.01319712,77907111.0732074
"11011",0,0,0,0,0,1047943.19034336,15285065.6217522,166533.267332724,98907.3614235368,658431.492241462,154295.217381717,0,0,0,0,0,0,0,0,0,0,0,0,575542.20344772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.5395545414466,0,0,0,186810.686464264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18173540.5799415,0,0,0,0,0,0,0,0,0,0,0,18173540.5799415
"13012",755167.054272354,0,8033256.86744468,1309549.42450048,872706.818327388,0,0,0,0,0,0,6400328.42594924,5572329.7012322,1176018.53844638,55986.804941331,685198.501722926,343442.190783372,5101434.06332374,7208173.70272948,0,1982700.66374575,16277350.9870939,7996922.93527416,564237.642709058,0,0,0,0,0,0,0,0,0,0,144101.944165789,2706.90968720818,0,0,0,0,0,0,0,0,113882.04245693,0,0,0,3039.86601850714,155465.065984417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214.994430475131,53.9782037991857,0,0,369.348066276381,205.434404285535,0,0,0,0,0,0,0,8619680.44950072,0,0,0,0,0,0,0,0,0,0,0,148556.579475246,0,0,0,0,0,211871.958180971,0,1640141.63466906,645962.036616937,385576.613227254,0,0,0,0,37469.7203296796,0,0,76444102.8979139,18649553.6509226,33683028.0009102,52332581.6518328,0,52332581.6518328,0,583817.093332798,583817.093332798,744842.362165469,53661241.107331,1477751.24123466,128627592.76401
"13013",679892.933606916,0,53135356.4702242,18924457.7721969,3547235.34510367,0,0,0,0,0,0,0,6889403.42776398,0,0,944100.476209577,0,0,276.945114552541,0,1058.27872217232,58549.2113522424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108.953550507382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.3510695992371,17.913964411106,0,0,0,0,0,0,0,0,0,4782.38600138003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115136.264229339,0,0,0,0,0,0,0,0,0,0,7923.90482636608,0,0,84308371.6339358,31968.1186766272,255100.6980382,287068.816714827,0,287068.816714827,0,1173001.01841032,1173001.01841032,604826.494029301,2064896.32915445,2025290.6523,84347977.3107902
"13014",3653.90304931597,0,204697.257173592,212016.639097665,77.1220338290624,0,0,0,0,0,0,0,4078701.89001526,17477063.5985057,0,67552.6126681622,377920.125060312,4034358.23227214,1418050.39593697,0,1248333.99632199,5741394.77485506,0,201104.194946094,0,0.380639724002702,0,0,0,0,0,0,0,0,0,0,10701.4866162263,0,0,0,0,0,1035030.52799363,0,24264.2091610104,1161663.43214597,7166.56723279569,6759462.29277228,3509506.82862177,252595.667609348,39242.5695838807,303.494444990795,50375.6344168401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3145.73419331668,789.792930959464,0,0,265.295635042345,147.559610184403,0,0,0,0,0,0,174606.386026537,11617582.4902733,634845.42592512,0,0,0,0,0,0,0,0,0,69467.0718077466,148600.442336569,0,0,0,0,0,44705.2803688447,34152.5425387687,1215996.9361903,46594.8870944066,301389.959914201,0,0,0.0815198395803116,0,92271.0724402044,0,0,62299798.79198,8676887.99400144,18369864.4012462,27046752.3952477,0,27046752.3952477,0,309547.123356356,309547.123356356,707843.059531434,28064142.5781355,5849843.33004377,84514098.0400715
"13015",0,0,0,0,0,0,0,0,0,0,0,0,39498.8044551084,0,1017982.97468915,39413.7020627069,36873.1671457198,1628476.28894827,137756.825037338,538951.511414286,580167.295611582,2533865.63178575,129150.489354166,2614902.64672479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252469.389987731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0578326533321913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,665.218864899682,167.015114676524,0,0,88.1553851818495,49.032727591864,0,0,0,0,0,0,14648.0947289395,656477.281750081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26794.555943616,0,81937.1430338432,0,4008.36804706132,0,0,0,0,29419.9945466181,0,0,10363763.6451918,1122317.97204047,1463032.76201081,2585350.73405128,0,2585350.73405128,0,487906.235019327,487906.235019327,247033.798154953,3320290.76722556,792695.540592109,12891358.8718252
"13016",0,0,15845.0330004822,104.137712490883,0,0,0,0,0,0,0,0,741866.423746784,0,0,20153078.5627591,218210.020510439,430348.600777054,1125726.97310164,0,637309.94447157,1404430.02558282,0,0,0,0,0,0,0,0,0,0,12209327.1089128,0,0,0,0,0,128260.962518407,16377.8194877583,0,0,0,0,0,0,0,131425.777358872,827712.096925723,84205.3501471937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19174.7513734527,4814.16488393484,0,0,2608.91988776178,1451.10252653792,0,0,0,0,0,0,1437653.12936469,21407864.4214506,0,0,0,0,0,0,0,0,0,0,0,55442.7737525885,0,0,0,179329.244304445,0,157527.037241896,0,0,0,27170.968389155,0,0,0,0,162600.050698288,0,0,61579865.4008865,28743303.4057803,82740673.5000893,111483976.90587,0,111483976.90587,0,1184295.03648947,1184295.03648947,3401109.87856014,116069381.820919,17757133.8679975,159892113.353808
"13017",0,0,0,145896.138177504,0,0,0,0,0,0,0,0,1046139.44636686,0,0,14681.3798804463,5432815.62193093,0,140106.447629248,0,33007.439114766,1336148.18344954,0,0,0,0,0,0,0,0,0,0,1115.48122889637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26247.0481219167,203319.676356619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53299.2150852062,0,0,0,0,0,0,0,0,0,0,0,0,0,2943.71556527071,739.072534845955,0,0,447.389732222029,248.841843159715,0,0,0,0,0,0,810467.877369101,22121481.4719556,0,0,0,0,0,0,0,0,0,0,0,169786.204452623,0,0,0,3308.59453978239,14193.7788992544,47165.840841573,55365.5641196315,243883.817441774,23542.9512012865,13272.4858832764,0,0,0,2671.8099510015,99621.6133969853,0,0,32041917.1070693,4487825.58329904,22316608.4377305,26804434.0210296,0,26804434.0210296,0,388820.916694243,388820.916694243,11257642.2628478,38450897.2005716,8397805.89804876,62095008.4095921
"13018",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7048029.04114126,1188663.31240129,159944.825472206,1324383.63281421,9441412.31623375,816266.853873754,2771434.13857788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1084733.56047319,163220.557282184,1453925.70934333,0.0624844554677311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20759.4194365941,5212.02419348657,0,0,755.243866071071,420.072861449482,41262.247014513,41087.8301508377,0,0,0,0,390012.030519382,9188628.53469331,0,0,0,0,0,0,0,0,0,0,7067014.91285885,206603.058403504,0,0,0,29559.6496720235,112191.539363885,313504.253775887,267291.485867599,1947841.5799903,65655.5149250992,46178.9564099926,0,0,0,6562.26927009034,152923.30219658,0,0,45355477.935567,13553118.1584604,49033567.1657773,62586685.3242377,0,62586685.3242377,0,437396.335128501,437396.335128501,8285648.37255149,71309730.0319177,6005445.83446365,110659762.133021
"14019",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,791802.637074609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30835.3821635286,7741.77516585134,0,0,727.926445195615,404.878686865491,47151.3718864017,46324.6855388073,0,0,0,0,1038406.23719437,2645242.90436846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27481.465820623,0,0,0,2716.98409671505,187264.613828346,0,0,4826100.86226977,6694674.08280442,15389169.3156472,22083843.3984517,0,22083843.3984517,0,279884.491643807,279884.491643807,525378.918339557,22889106.808435,169512.6985,27545694.9722048
