2021,2022,2023
1738.45987542646,1833.5932593553,1931.19565103137
1657.70381295073,1778.10659608775,1861.81153068389
1462.36893756957,1557.16937209508,1647.87813990607
19390.513346598,20216.4421881339,21150.365854552
7969.41650033575,8335.5195048,8747.1094422504
942.668092331012,986.808486123508,1032.09281024253
3511.62052338891,3692.77443491182,3856.05272943111
39665.5054849356,41771.7335062036,43625.4506497385
2071.46869543381,2163.33598442565,2264.52871697185
20097.5446338242,21176.8666208085,22075.312848911
5373.01240408799,5614.0403845349,5899.06814798342
13930.2318904923,14618.4717826372,15711.4180697051
65080.3879431614,68349.9064840576,71984.0896984326
70.3395531460634,74.8732050223979,78.6315403210175
11205.3111157294,11513.3321784193,12028.3062487382
29073.5833812175,30404.0172061162,31830.4704687149
6855.62756829204,7150.51935631048,7515.04901028872
