,Country,Year,A,B,C10_12,C13_15,C16_18,C19,C20_21,C22_23,C24_25,C26,C27,C28,C29_30,C31_33,D,E,F,G,H,I,J58_60,J61,J62_63,K,L68,M,N,O84,P85,Q,R_S,T_U,VA_labour,VA_rest,Nuclear,Hydro,Wind,Solar,Other,Coal,Gas,Oil,Bio_Rest,Bio_Gas,Sector_Size,Gas_FC,Population,GDP_pC,Gas_FC_pC
21,PL,2010,0.004431704,0.162993122,0.001846644,0.000756836,0.002079929,0.010566952,0.005381698,0.007606252,0.011880503,0.006543936,0.017279722,0.010565153,0.002756044,0.011738029,0.040577717,0.00880666,0.097372175,0.033370454,0.041125359,0.000547016,0.001739525,0.003786524,0.004905625,0.01611807,0.005494175,0.036489663,0.020623728,0.003694853,0.00063681,0.000968806,0.001859707,4.30197939938501e-07,0.13292694,0.292529241,0,0.014702406,0.007018016,0,0,0.900067083,0.040839078,0.00492517,0.03244239,5.85771882153007e-06,237104.0556,413286,38022869,15751.9,0.010869406
22,PT,2010,0.000241343,0.043065766,0.000600228,0.000288708,0.004267654,0.037994877,0.002198697,0.001697003,0.003640496,0.001625558,0.012073549,0.002903241,0.000833333,0.004648322,0.475530689,0.002087967,0.005748977,0.017227526,0.020313734,0.000546526,0.000313342,0.00229826,0.00559294,0.03758728,0.001196258,0.029658377,0.013451904,0.003832097,0.000318173,0.000820106,0.00067492,0,0.03848683,0.228235319,0,0.356505214,0.198059626,0.004558478,0.004249373,0.153150005,0.237404078,0.032440718,0.013632507,0,46359.77644,72775,10573479,20632.5,0.006882787
23,RO,2010,2.42091296352336e-05,0.127816397,0.000477808,0.002146304,0.002272149,0.013091409,0.003089529,0.005165784,0.02576804,0.003662741,0.015844302,0.001231657,0.004144488,0.003154994,0.167656388,0.000409335,0.051333382,0.015197317,0.118843835,0.001833519,0.001237674,0.006036668,0.005198087,0.009651349,0.000640682,0.005161558,0.00227265,0.001097146,0.00055065,0.000209645,0.000734511,4.29747863347342e-06,0.117217884,0.286823608,0.139818929,0.24028935,0.003608851,0,3.34152899010306e-05,0.307994073,0.271936302,0.033619791,0.002699287,0,83128.94444,279902,20294683,12848.1,0.013791888
24,SE,2010,0.005632504,0.013845174,0.001145726,0.000366975,0.035403681,0.020148509,0.019996411,0.00264215,0.003948878,0.002316971,0.005379291,0.008044466,0.002085478,0.007601556,0.076321001,0.004404094,0.028078023,0.025483339,0.008871251,0.002598313,0.005078895,0.002949692,0.011964251,0.016251862,0.00680772,0.028138987,0.015971881,0.008093975,0.000479149,0.000873344,0.003199276,6.86199184681947e-06,0.098102495,0.527767816,0.283601422,0.326067091,0.017101026,4.41380092014126e-05,0.109932523,0.037807474,0.039242232,0.026579528,0.158452184,0.001172382,203905.8889,25923,9340682,31956.2,0.002775279
25,SI,2010,0.00373813,0.073865724,0.004190941,0.001468423,0.003888725,0.003295085,0.01919229,0.009465339,0.012856537,0.004788179,0.013336075,0.010292836,0.001585095,0.010971796,0.088294507,0.011606039,0.020312239,0.059129072,0.020875554,0.004024414,0.004006425,0.008430196,0.014299261,0.02247504,0.005580212,0.10930832,0.012069129,0.002478895,0.006621009,0.002056923,0.004945455,1.33633151300996e-05,0.139824992,0.290713781,0.303385851,0.243320065,0,5.36301663726939e-05,0.000342637,0.370807909,0.060447156,0.003140344,0.012448158,0.00605425,18646.22222,28859,2046976,21057.6,0.014098358
26,SK,2010,0.001677566,0.107581961,0.000785756,0.00038314,0.002437663,0.020982636,0.007371783,0.00354924,0.009860858,0.003138779,0.012696152,0.001779374,0.001482811,0.008542895,0.407889628,0.006902619,0.011149468,0.026768046,0.039342084,0.000258719,0.001022138,0.001374358,0.005358889,0.006450899,0.007110942,0.04203625,0.008415613,0.001247998,0.000301639,0.000261857,0.001368082,1.47681188434828e-06,0.045099158,0.205369522,0.399435206,0.144907483,0,5.23226154331368e-05,0.000720889,0.165233366,0.208472194,0.061621507,0.01953087,2.61613077165684e-05,38224.38889,162437,5390410,19013.4,0.030134442
27,AT,2011,0.002498386,0.038528801,0.000802931,0.000168391,0.004478209,0.010053555,0.001393812,0.002854875,0.005405903,0.001737272,0.01555382,0.004727636,0.000628849,0.013851062,0.521334719,0.01641933,0.013189179,0.019567392,0.029719553,0.005266894,0.000799016,0.001731745,0.004651271,0.021635687,0.002976808,0.01531525,0.009353968,0.001588195,0.003518863,0.0001804,0.000492406,1.64508171400537e-07,0.088328879,0.141246782,0,0.485517136,0.025534926,0.002562268,0.020996451,0.078830105,0.233951455,0.014496905,0.129793355,0.0083174,75825.40194,211734.467,8375164,33148.2,0.025281232
28,BE,2011,0.000606022,0.010331866,0.001437867,0.000220429,0.002816056,0.005715605,0.022697114,0.003404147,0.008239086,0.004722098,0.020600692,0.003382573,0.001210293,0.014954081,0.095782325,0.020140572,0.048810773,0.046830274,0.029876081,0.002470388,0.003118297,0.008617184,0.003954204,0.013299497,0.003661279,0.108564126,0.020727472,0.004018434,0.001548957,0.00011172,0.00344043,3.43216449453848e-06,0.152760949,0.331925679,0.521364698,0.015381307,0.024839244,4.32362812930843e-05,0.024017754,0.055969366,0.327872791,0.001273669,0.02639623,0.002841705,92514.89444,402088.1,11000638,30520,0.036551344
29,BG,2011,0.000520709,0.257641047,0.00087372,0.001534673,0.00154451,0.033303172,0.002072082,0.010139866,0.021924449,0.008833061,0.048182266,0.014114503,0.005528527,0.00962053,0.010167778,0.004191523,0.018196211,0.045210154,0.071546443,0.003093596,0.001435381,0.00504145,0.007157687,0.046015697,0.00337088,0.004863686,0.002616585,0.001461691,0.00025921,6.6575687519804e-05,0.000530546,4.11808376411159e-06,0.122140305,0.236797366,0.250935554,0.055896012,0.013038869,0.001529531,0,0.513087666,0.149697123,0.014830893,0.000984351,0,66033.33333,59259,7369431,11738.2,0.008041191
30,CZ,2011,0.002767131,0.122541694,0.00155681,0.001706563,0.001756169,0.015481826,0.005274803,0.003657253,0.00934389,0.004965971,0.024118282,0.02416445,0.003033934,0.007526106,0.203072081,0.008246831,0.014927526,0.030480701,0.108021981,0.002480158,0.000794173,0.002944922,0.002253868,0.027698939,0.008457907,0.011604637,0.003747256,0.002200064,0.001491231,0.00021912,0.000591782,4.43020741589907e-06,0.050455166,0.292412343,0.253572511,0.019200488,0.003527346,0.019387073,0.003770696,0.59532718,0.081417217,0.009050855,0.013973639,0.000772995,112549.2222,256249,10486731,21617,0.024435546
